,Keywords,Normalized Weightage,No of occurrence
0,java,0.9999999999999999,135
1,int,0.7686567164179104,104
2,for,0.47761194029850745,65
3,applet,0.417910447761194,57
4,object,0.38805970149253727,53
5,new,0.3805970149253731,52
6,class,0.3134328358208955,43
7,method,0.2835820895522388,39
8,do,0.24626865671641793,34
9,array,0.24626865671641793,34
10,string,0.23134328358208955,32
11,if,0.2164179104477612,30
12,this,0.17164179104477612,24
13,public,0.17164179104477612,24
14,return,0.11194029850746269,16
15,const,0.11194029850746269,16
16,operator,0.08955223880597016,13
17,boolean,0.05970149253731343,9
18,byte,0.05970149253731343,9
19,instance,0.04477611940298507,7
20,compile,0.029850746268656712,5
21,static,0.029850746268656712,5
22,import,0.029850746268656712,5
23,expression,0.029850746268656712,5
24,while,0.029850746268656712,5
25,void,0.029850746268656712,5
26,initialize,0.022388059701492536,4
27,super,0.022388059701492536,4
28,final,0.022388059701492536,4
29,else,0.022388059701492536,4
30,char,0.014925373134328356,3
31,declaration,0.014925373134328356,3
32,float,0.014925373134328356,3
33,extends,0.014925373134328356,3
34,case,0.014925373134328356,3
35,package,0.014925373134328356,3
36,default,0.014925373134328356,3
37,double,0.014925373134328356,3
38,long,0.014925373134328356,3
39,html,0.014925373134328356,3
40,portability,0.007462686567164179,2
41,instanceof,0.007462686567164179,2
42,interface,0.007462686567164179,2
43,switch,0.007462686567164179,2
44,break,0.007462686567164179,2
45,continue,0.007462686567164179,2
46,native,0.0,1
47,try,0.0,1
48,short,0.0,1
49,implements,0.0,1
